Gözlem Yapılan Servis Adı;Servis Türü;Gözlem Tarihi;Gözlemci Meslek;Cinsiyet;Hasta İle Temas Öncesi;Hasta İle Temas Sonrası;Aseptik İşlemler Öncesi;Vücus Sıvıları İle Bulaşma Sonrası;Hasta Çevresi İle Temas Sonrası
Nöroloji;Yoğun Bakım;1.06.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Yok;Yok;Yok;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Yok;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Ovma;Gözlem Dışı;Gözlem Dışı;Yok;Ovma
Nöroloji;Yoğun Bakım;1.09.2018;Hasta Bakıcı;E;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Gözlem Dışı;Yıkama;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Yok;Yok;Yok;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;K;Yok;Yok;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Yok;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;E;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Doktor;K;Yok;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.09.2018;Hemşire;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.09.2018;Hasta Bakıcı;E;Yok;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Doktor;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Doktor;K;Ovma;Yok;Ovma;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Doktor;K;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Doktor;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.08.2018;Hemşire;E;Ovma;Ovma;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.06.2018;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;E;Yok;Yok;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;E;Ovma;Ovma;Yok;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;E;Ovma;Gözlem Dışı;Yıkama;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;E;Yok;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Yok;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Ovma;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Yok;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yok;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;E;Ovma;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hasta Bakıcı;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;K;Yok;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.10.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hasta Bakıcı;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.11.2018;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.12.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.12.2018;Doktor;K;Ovma;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Ovma;Yok;Yok;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.12.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Doktor;K;Yok;Yok;Yok;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Doktor;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Yok;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Yıkama;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Doktor;E;Yok;Yok;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.01.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Yok;Ovma
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Ovma;Ovma;Yok;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.01.2019;Hemşire;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Yok;Ovma;Ovma;Yok;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;E;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;E;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;E;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yıkama;Yok;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Ovma;Ovma;Yok;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.02.2019;Doktor;K;Ovma;Yok;Ovma;Yok;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Gözlem Dışı;Ovma;Yıkama;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Yok;Ovma;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Ovma;Yok;Yok;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.03.2019;Hemşire;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
